Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG
11/9/2022,Rennes,Auxerre,5,0,H,1,0
11/9/2022,Ajaccio,Nice,0,1,A,0,0
11/9/2022,Angers,Montpellier,2,1,H,1,1
11/9/2022,Lorient,Nantes,3,2,H,1,1
11/9/2022,Toulouse,Reims,1,0,H,1,0
11/9/2022,Strasbourg,Clermont,0,0,D,0,0
11/9/2022,Marseille,Lille,2,1,H,1,1
11/9/2022,Paris SG,Brest,1,0,H,1,0
11/9/2022,Lens,Troyes,1,0,H,1,0
18/09/2022,Lyon,Paris SG,0,1,A,0,1
18/09/2022,Nantes,Lens,0,0,D,0,0
18/09/2022,Brest,Ajaccio,0,1,A,0,0
18/09/2022,Clermont,Troyes,1,3,A,1,1
18/09/2022,Marseille,Rennes,1,1,D,0,1
18/09/2022,Nice,Angers,0,1,A,0,1
18/09/2022,Reims,Monaco,0,3,A,0,0
18/09/2022,Lille,Toulouse,2,1,H,1,0
18/09/2022,Montpellier,Strasbourg,2,1,H,1,0
18/09/2022,Auxerre,Lorient,1,3,A,0,3
2/10/2022,Lens,Lyon,1,0,H,0,0
2/10/2022,Monaco,Nantes,4,1,H,3,0
2/10/2022,Ajaccio,Clermont,1,3,A,0,1
2/10/2022,Auxerre,Brest,1,1,D,0,0
2/10/2022,Toulouse,Montpellier,4,2,H,3,1
2/10/2022,Troyes,Reims,2,2,D,0,1
2/10/2022,Lorient,Lille,2,1,H,1,0
2/10/2022,Paris SG,Nice,2,1,H,1,0
2/10/2022,Strasbourg,Rennes,1,3,A,0,1
2/10/2022,Angers,Marseille,0,3,A,0,1
9/10/2022,Lille,Lens,1,0,H,1,0
9/10/2022,Rennes,Nantes,3,0,H,1,0
9/10/2022,Angers,Strasbourg,2,3,A,1,2
9/10/2022,Brest,Lorient,1,2,A,1,1
9/10/2022,Clermont,Auxerre,2,1,H,0,0
9/10/2022,Nice,Troyes,3,2,H,2,0
9/10/2022,Montpellier,Monaco,0,2,A,0,1
9/10/2022,Reims,Paris SG,0,0,D,0,0
9/10/2022,Marseille,Ajaccio,1,2,A,1,1
9/10/2022,Lyon,Toulouse,1,1,D,1,0
16/10/2022,Paris SG,Marseille,1,0,H,1,0
16/10/2022,Monaco,Clermont,1,1,D,1,0
16/10/2022,Auxerre,Nice,1,1,D,1,1
16/10/2022,Nantes,Brest,4,1,H,2,1
16/10/2022,Rennes,Lyon,3,2,H,1,1
16/10/2022,Troyes,Ajaccio,1,1,D,0,0
16/10/2022,Toulouse,Angers,3,2,H,2,1
16/10/2022,Lens,Montpellier,1,0,H,0,0
16/10/2022,Lorient,Reims,0,0,D,0,0
16/10/2022,Strasbourg,Lille,0,3,A,0,1
23/10/2022,Lille,Monaco,4,3,H,2,2
23/10/2022,Nice,Nantes,1,1,D,0,0
23/10/2022,Clermont,Brest,1,3,A,0,1
23/10/2022,Reims,Auxerre,2,1,H,1,1
23/10/2022,Toulouse,Strasbourg,2,2,D,1,0
23/10/2022,Troyes,Lorient,2,2,D,1,0
23/10/2022,Angers,Rennes,1,2,A,0,1
23/10/2022,Marseille,Lens,0,1,A,0,0
23/10/2022,Montpellier,Lyon,1,2,A,0,1
23/10/2022,Ajaccio,Paris SG,0,3,A,0,1
30/10/2022,Lyon,Lille,1,0,H,0,0
30/10/2022,Lorient,Nice,1,2,A,1,0
30/10/2022,Brest,Reims,0,0,D,0,0
30/10/2022,Monaco,Angers,2,0,H,0,0
30/10/2022,Nantes,Clermont,1,1,D,0,0
30/10/2022,Rennes,Montpellier,3,0,H,2,0
30/10/2022,Auxerre,Ajaccio,1,0,H,1,0
30/10/2022,Strasbourg,Marseille,2,2,D,0,2
30/10/2022,Paris SG,Troyes,4,3,H,1,1
30/10/2022,Lens,Toulouse,3,0,H,0,0
6/11/2022,Marseille,Lyon,1,0,H,1,0
6/11/2022,Lille,Rennes,1,1,D,1,0
6/11/2022,Clermont,Montpellier,1,1,D,0,1
6/11/2022,Nice,Brest,1,0,H,0,0
6/11/2022,Reims,Nantes,1,0,H,0,0
6/11/2022,Toulouse,Monaco,0,2,A,0,0
6/11/2022,Lorient,Paris SG,1,2,A,0,1
6/11/2022,Angers,Lens,1,2,A,0,1
6/11/2022,Ajaccio,Strasbourg,4,2,H,4,2
6/11/2022,Troyes,Auxerre,1,1,D,1,0
13/11/2022,Monaco,Marseille,2,3,A,1,1
13/11/2022,Strasbourg,Lorient,1,1,D,0,1
13/11/2022,Brest,Troyes,2,1,H,0,0
13/11/2022,Lille,Angers,1,0,H,1,0
13/11/2022,Montpellier,Reims,1,1,D,0,0
13/11/2022,Nantes,Ajaccio,2,2,D,0,0
13/11/2022,Paris SG,Auxerre,5,0,H,1,0
13/11/2022,Rennes,Toulouse,2,1,H,1,0
13/11/2022,Lens,Clermont,2,1,H,0,1
13/11/2022,Lyon,Nice,1,1,D,0,1
28/12/2022,Marseille,Toulouse,6,1,H,2,0
28/12/2022,Nice,Lens,0,0,D,0,0
28/12/2022,Reims,Rennes,3,1,H,2,1
28/12/2022,Lorient,Montpellier,0,2,A,0,2
28/12/2022,Brest,Lyon,2,4,A,1,3
28/12/2022,Paris SG,Strasbourg,2,1,H,1,0
28/12/2022,Clermont,Lille,0,2,A,0,0
28/12/2022,Auxerre,Monaco,2,3,A,1,1
28/12/2022,Ajaccio,Angers,1,0,H,1,0
28/12/2022,Troyes,Nantes,0,0,D,0,0
2/1/2023,Rennes,Nice,2,1,H,1,1
2/1/2023,Montpellier,Marseille,1,2,A,0,0
2/1/2023,Lille,Reims,1,1,D,1,0
2/1/2023,Strasbourg,Troyes,2,3,A,1,2
2/1/2023,Lens,Paris SG,3,1,H,2,1
2/1/2023,Lyon,Clermont,0,1,A,0,0
2/1/2023,Angers,Lorient,1,2,A,1,0
2/1/2023,Monaco,Brest,1,0,H,0,0
2/1/2023,Nantes,Auxerre,1,0,H,0,0
2/1/2023,Toulouse,Ajaccio,2,0,H,0,0
